date;1. open;2. high;3. low;4. close;5. volume
2019-03-15 14:21:00;169.96;170.0206;169.9574;169.9574;14133.0
2019-03-15 14:22:00;170.0215;170.12;170.01;170.06;16634.0
2019-03-15 14:23:00;170.04;170.18;170.025;170.08;21715.0
2019-03-15 14:24:00;170.14;170.2291;170.12;170.1339;10904.0
2019-03-15 14:25:00;170.16;170.16;170.08;170.1522;13607.0
2019-03-15 14:26:00;170.168;170.2;170.1395;170.2;8401.0
2019-03-15 14:27:00;170.22;170.25;170.18;170.25;13993.0
2019-03-15 14:28:00;170.2;170.33;170.2;170.27;19645.0
2019-03-15 14:29:00;170.31;170.33;170.27;170.33;12919.0
2019-03-15 14:30:00;170.28;170.29;170.14;170.22;15287.0
2019-03-15 14:31:00;170.24;170.3;170.18;170.27;15252.0
2019-03-15 14:32:00;170.22;170.24;170.19;170.19;10607.0
2019-03-15 14:33:00;170.14;170.33;170.13;170.16;17970.0
2019-03-15 14:34:00;170.13;170.16;170.08;170.1172;9668.0
2019-03-15 14:35:00;170.12;170.14;170.08;170.14;10946.0
2019-03-15 14:36:00;170.11;170.125;170.04;170.0902;14742.0
2019-03-15 14:37:00;170.06;170.1;170.04;170.07;15953.0
2019-03-15 14:38:00;170.04;170.15;170.04;170.15;10836.0
2019-03-15 14:39:00;170.14;170.22;170.14;170.22;7280.0
2019-03-15 14:40:00;170.17;170.2;170.17;170.18;11899.0
2019-03-15 14:41:00;170.21;170.23;170.15;170.23;6329.0
2019-03-15 14:42:00;170.28;170.32;170.2097;170.2097;15937.0
2019-03-15 14:43:00;170.25;170.25;170.21;170.25;8552.0
2019-03-15 14:44:00;170.264;170.2698;170.22;170.22;10061.0
2019-03-15 14:45:00;170.23;170.23;170.2;170.23;11780.0
2019-03-15 14:46:00;170.17;170.17;170.04;170.13;15840.0
2019-03-15 14:47:00;170.08;170.15;170.07;170.15;10351.0
2019-03-15 14:48:00;170.17;170.17;170.08;170.09;6172.0
2019-03-15 14:49:00;170.07;170.0759;170.0;170.0759;6155.0
2019-03-15 14:50:00;170.06;170.06;169.98;170.05;17075.0
2019-03-15 14:51:00;170.06;170.06;170.0024;170.05;7354.0
2019-03-15 14:52:00;169.9551;169.9944;169.94;169.99;16490.0
2019-03-15 14:53:00;169.9899;169.9899;169.82;169.8299;28159.0
2019-03-15 14:54:00;169.8;169.854;169.75;169.83;29926.0
2019-03-15 14:55:00;169.86;169.9;169.85;169.88;9915.0
2019-03-15 14:56:00;169.92;169.92;169.83;169.84;9918.0
2019-03-15 14:57:00;169.9539;169.9981;169.9539;169.9981;14236.0
2019-03-15 14:58:00;170.0;170.0;169.98;169.98;13091.0
2019-03-15 14:59:00;169.94;169.99;169.94;169.99;4724.0
2019-03-15 15:00:00;169.99;169.99;169.94;169.99;13274.0
2019-03-15 15:01:00;169.95;169.95;169.75;169.87;36748.0
2019-03-15 15:02:00;169.91;169.94;169.88;169.88;13326.0
2019-03-15 15:03:00;169.88;169.88;169.81;169.84;13515.0
2019-03-15 15:04:00;169.85;169.99;169.85;169.96;11962.0
2019-03-15 15:05:00;169.99;169.99;169.95;169.96;5679.0
2019-03-15 15:06:00;169.99;170.0;169.9;169.99;19550.0
2019-03-15 15:07:00;169.99;170.02;169.99;169.99;8707.0
2019-03-15 15:08:00;170.02;170.12;170.02;170.07;19195.0
2019-03-15 15:09:00;170.07;170.15;170.03;170.15;17541.0
2019-03-15 15:10:00;170.12;170.15;170.09;170.09;9746.0
2019-03-15 15:11:00;170.12;170.12;170.0103;170.04;10327.0
2019-03-15 15:12:00;170.06;170.06;170.01;170.06;13348.0
2019-03-15 15:13:00;170.05;170.08;170.0269;170.0475;7931.0
2019-03-15 15:14:00;170.06;170.12;170.06;170.0994;20790.0
2019-03-15 15:15:00;170.086;170.12;170.07;170.08;8963.0
2019-03-15 15:16:00;170.08;170.1;170.02;170.07;15136.0
2019-03-15 15:17:00;170.06;170.07;169.99;170.02;21433.0
2019-03-15 15:18:00;170.05;170.05;169.8919;169.8919;20799.0
2019-03-15 15:19:00;169.89;169.98;169.8736;169.89;25098.0
2019-03-15 15:20:00;169.9;169.93;169.85;169.89;18647.0
2019-03-15 15:21:00;169.91;169.91;169.8;169.85;25669.0
2019-03-15 15:22:00;169.85;169.95;169.85;169.93;20436.0
2019-03-15 15:23:00;169.94;169.94;169.85;169.9;7972.0
2019-03-15 15:24:00;169.88;169.9166;169.88;169.9166;9062.0
2019-03-15 15:25:00;169.91;169.96;169.85;169.96;13239.0
2019-03-15 15:26:00;169.97;170.0;169.94;169.94;24874.0
2019-03-15 15:27:00;169.983;170.0;169.91;169.98;27187.0
2019-03-15 15:28:00;170.0;170.08;169.95;169.9799;37210.0
2019-03-15 15:29:00;169.99;170.0;169.96;169.97;16032.0
2019-03-15 15:30:00;169.98;169.98;169.8;169.84;19959.0
2019-03-15 15:31:00;169.8;169.89;169.8;169.83;18089.0
2019-03-15 15:32:00;169.83;169.87;169.82;169.83;32540.0
2019-03-15 15:33:00;169.84;169.84;169.52;169.54;58066.0
2019-03-15 15:34:00;169.57;169.67;169.57;169.67;23013.0
2019-03-15 15:35:00;169.66;169.91;169.6557;169.77;42136.0
2019-03-15 15:36:00;169.79;169.79;169.63;169.63;36869.0
2019-03-15 15:37:00;169.5831;169.69;169.58;169.67;27933.0
